pr_number,title,author,github_author,topic,deadline_at,deadline_type,first_signal_at,first_commit_at,last_commit_at,first_signal_source,hours_before_deadline,within_24h,within_72h,commit_count,churn,additions,deletions,changed_files
202,update,Vanish,Vanish,Other,2026-03-24T18:49:32+08:00,merged_at,2026-03-24T18:49:32+08:00,2026-03-24T18:49:32+08:00,2026-03-24T18:49:32+08:00,linked_commit,0.0,True,True,1,4,2,2,2
201,update[SKIP CICD],Vanish,Vanish,Build/CI,2026-03-24T18:39:44+08:00,merged_at,2026-03-24T18:39:44+08:00,2026-03-24T18:39:44+08:00,2026-03-24T18:39:44+08:00,linked_commit,0.0,True,True,1,775,4,771,5
198,197 camera,Vanish,Vanish,Rendering,2026-03-24T09:23:50+08:00,merged_at,2026-03-24T09:23:50+08:00,2026-03-24T09:23:50+08:00,2026-03-24T09:23:50+08:00,linked_commit,0.0,True,True,1,8257,4982,3275,124
196,178 level camera,Vanish,Vanish,Rendering,2026-03-24T02:46:21+08:00,merged_at,2026-03-24T02:46:21+08:00,2026-03-24T02:46:21+08:00,2026-03-24T02:46:21+08:00,linked_commit,0.0,True,True,1,201,152,49,12
195,Oris/3.22 project [SKIP CICD],OriSYX,OriSYX,Build/CI,2026-03-24T02:00:17+08:00,merged_at,2026-03-24T02:00:17+08:00,2026-03-24T02:00:17+08:00,2026-03-24T02:00:17+08:00,linked_commit,0.0,True,True,1,5264,4490,774,13
186,ruletile不显示的问题反馈,OriSYX,OriSYX,Level/LDtk,2026-03-24T00:50:08+08:00,merged_at,2026-03-24T00:50:08+08:00,2026-03-24T00:50:08+08:00,2026-03-24T00:50:08+08:00,linked_commit,0.0,True,True,1,2774,2477,297,10
185,174 background,Vanish,Vanish,Other,2026-03-24T01:05:27+08:00,merged_at,2026-03-24T01:05:27+08:00,2026-03-24T01:05:27+08:00,2026-03-24T01:05:27+08:00,linked_commit,0.0,True,True,1,1738,1712,26,34
176,Update Scene,OriSYX,OriSYX,Level/LDtk,2026-03-22T16:32:18+08:00,merged_at,2026-03-22T16:32:18+08:00,2026-03-22T16:32:18+08:00,2026-03-22T16:32:18+08:00,linked_commit,0.0,True,True,1,2,1,1,1
173,171 room manager,Vanish,Vanish,Other,2026-03-20T06:16:32+08:00,merged_at,2026-03-20T06:16:32+08:00,2026-03-20T06:16:32+08:00,2026-03-20T06:16:32+08:00,linked_commit,0.0,True,True,1,95161,93410,1751,964
172,RainRust渲染纹理尺寸,Vanish,Vanish,Other,2026-03-18T18:53:04+08:00,merged_at,2026-03-18T18:53:04+08:00,2026-03-18T18:53:04+08:00,2026-03-18T18:53:04+08:00,linked_commit,0.0,True,True,1,85,47,38,2
170,169 ab tile,Vanish,Vanish,Level/LDtk,2026-03-17T17:23:44+08:00,merged_at,2026-03-17T17:23:44+08:00,2026-03-17T17:23:44+08:00,2026-03-17T17:23:44+08:00,linked_commit,0.0,True,True,1,227,227,0,11
