number,title,state,merged,draft,author,created_at,closed_at,merged_at,lead_time_hours,commits,additions,deletions,changed_files,base,head,labels,topic,review_decision,source
185,174 background,merged_inferred,True,False,Vanish,,2026-03-24T01:05:27+08:00,2026-03-24T01:05:27+08:00,,1,1712,26,34,,,,Other,,git_subject_inferred
176,Update Scene,merged_inferred,True,False,OriSYX,,2026-03-22T16:32:18+08:00,2026-03-22T16:32:18+08:00,,1,1,1,1,,,,Level/LDtk,,git_subject_inferred
173,171 room manager,merged_inferred,True,False,Vanish,,2026-03-20T06:16:32+08:00,2026-03-20T06:16:32+08:00,,1,93410,1751,964,,,,Other,,git_subject_inferred
172,RainRust渲染纹理尺寸,merged_inferred,True,False,Vanish,,2026-03-18T18:53:04+08:00,2026-03-18T18:53:04+08:00,,1,47,38,2,,,,Other,,git_subject_inferred
170,169 ab tile,merged_inferred,True,False,Vanish,,2026-03-17T17:23:44+08:00,2026-03-17T17:23:44+08:00,,1,227,0,11,,,,Level/LDtk,,git_subject_inferred
139,feat: 添加任务清理与回收工作流，优化逾期任务检测逻辑,merged_inferred,True,False,Vanish,,2026-03-17T14:50:13+08:00,2026-03-17T14:50:13+08:00,,1,226,74,3,,,,Other,,git_subject_inferred
138,Oris/3.4 project,merged_inferred,True,False,OriSYX,,2026-03-17T00:01:58+08:00,2026-03-17T00:01:58+08:00,,1,16258,110,554,,,,Other,,git_subject_inferred
136,chore: 移除不再使用的com.boxqkrtm.ide.cursor依赖,merged_inferred,True,False,Vanish,,2026-03-16T19:21:26+08:00,2026-03-16T19:21:26+08:00,,1,0,10,2,,,,Other,,git_subject_inferred
135,fix: 更新Crt材质和场景文件的LFS引用,merged_inferred,True,False,Vanish,,2026-03-16T19:14:06+08:00,2026-03-16T19:14:06+08:00,,1,7,5,3,,,,Bug/Fix,,git_subject_inferred
134,feat: 添加CRT效果材质和着色器，更新渲染设置,merged_inferred,True,False,Vanish,,2026-03-16T18:50:30+08:00,2026-03-16T18:50:30+08:00,,1,244,7,7,,,,Other,,git_subject_inferred
131,Oris/new movement1,merged_inferred,True,False,Vanish,,2026-03-04T01:06:28+08:00,2026-03-04T01:06:28+08:00,,1,3754,25,89,,,,Gameplay,,git_subject_inferred
123,bugfix: 修复aciton,merged_inferred,True,False,Vanish,,2025-12-18T21:31:56+08:00,2025-12-18T21:31:56+08:00,,1,58,32,1,,,,Bug/Fix,,git_subject_inferred
120,Develop,merged_inferred,True,False,Vanish,,2025-12-18T21:22:02+08:00,2025-12-18T21:22:02+08:00,,1,512220,193541,2442,,,,Other,,git_subject_inferred
118,Render Pipeline,merged_inferred,True,False,Vanish,,2026-03-15T09:29:28+08:00,2026-03-15T09:29:28+08:00,,1,4547,2379,166,,,,Rendering,,git_subject_inferred
110,Develop,merged_inferred,True,False,Vanish,,2025-12-07T20:27:50+08:00,2025-12-07T20:27:50+08:00,,1,10,371,2,,,,Other,,git_subject_inferred
93,Develop,merged_inferred,True,False,Vanish,,2025-11-15T00:19:28+08:00,2025-11-15T00:19:28+08:00,,1,7398,30024,925,,,,Other,,git_subject_inferred
74,[MILESTONE] 终于可以开始开发了,merged_inferred,True,False,Vanish,,2025-10-30T16:22:34+08:00,2025-10-30T16:22:34+08:00,,1,265288,10431,3340,,,,Other,,git_subject_inferred
64,"Revert ""[SKIP CICD]Update README.md""",merged_inferred,True,False,Vanish,,2025-08-17T22:01:09+08:00,2025-08-17T22:01:09+08:00,,1,1,3,1,,,,Docs/Stats,,git_subject_inferred
57,Develop [ADD BUILD][ADD DEPLOY],merged_inferred,True,False,Vanish,,2025-08-16T23:52:13+08:00,2025-08-16T23:52:13+08:00,,1,32884,12631,464,,,,Build/CI,,git_subject_inferred
55,Update and refactor CodeUnfucker Bridge,merged_inferred,True,False,Vanish,,2025-07-10T20:39:53+08:00,2025-07-10T20:39:53+08:00,,1,744,248,7,,,,Refactor,,git_subject_inferred
54,Add In Game Console [SKIP CI],merged_inferred,True,False,Vanish,,2025-07-09T23:00:00+08:00,2025-07-09T23:00:00+08:00,,1,6856,2550,85,,,,Build/CI,,git_subject_inferred
53,Upgrade CodeUnfucker [SKIP CI],merged_inferred,True,False,Vanish,,2025-07-09T21:35:42+08:00,2025-07-09T21:35:42+08:00,,1,22749,333,197,,,,Build/CI,,git_subject_inferred
52,Integrate roslyn-lint configuration into pipeline,merged_inferred,True,False,Vanish,,2025-07-09T21:49:07+08:00,2025-07-09T21:49:07+08:00,,1,532,9,4,,,,Data/Save,,git_subject_inferred
50,Vanish/fp rop core [SKIP CI],merged_inferred,True,False,Vanish,,2025-07-09T19:30:45+08:00,2025-07-09T19:30:45+08:00,,1,641,0,10,,,,Build/CI,,git_subject_inferred
46,环境配置脚本 [SKIP CI],merged_inferred,True,False,消失,,2025-07-08T21:13:44+08:00,2025-07-08T21:13:44+08:00,,1,301,0,3,,,,Build/CI,,git_subject_inferred
45,Automation Pipeline,merged_inferred,True,False,消失,,2025-07-08T21:03:04+08:00,2025-07-08T21:03:04+08:00,,1,15534,1771,200,,,,Build/CI,,git_subject_inferred
42,Vanish/automation pipeline,merged_inferred,True,False,消失,,2025-07-08T20:38:00+08:00,2025-07-08T20:38:00+08:00,,1,0,1,1,,,,Build/CI,,git_subject_inferred
41,Vanish/sample odin editor,merged_inferred,True,False,消失,,2025-07-05T17:04:55+08:00,2025-07-05T17:04:55+08:00,,1,1,0,1,,,,Other,,git_subject_inferred
40,feat: import ase,merged_inferred,True,False,消失,,2025-07-05T16:04:21+08:00,2025-07-05T16:04:21+08:00,,1,190255,9,1905,,,,Other,,git_subject_inferred
38,[Automation] feat: ci-pipeline (#38),merged_inferred,True,False,消失,,2025-07-05T15:45:50+08:00,2025-07-05T15:45:50+08:00,,1,145,0,1,,,,Build/CI,,git_subject_inferred
21,Develop,merged_inferred,True,False,消失,,2025-06-30T21:16:33+08:00,2025-06-30T21:16:33+08:00,,1,330,1,2,,,,Other,,git_subject_inferred
18,Develop,merged_inferred,True,False,消失,,2025-06-30T19:23:20+08:00,2025-06-30T19:23:20+08:00,,1,748,32,27,,,,Other,,git_subject_inferred
13,feat: update default build targets for step 2 in CI/CD workflow,merged_inferred,True,False,消失,,2025-06-18T00:03:26+08:00,2025-06-18T00:03:26+08:00,,1,3,3,1,,,,Build/CI,,git_subject_inferred
12,feat: Add demo scenes and unit tests for ThirdPersonController,merged_inferred,True,False,消失,,2025-06-18T00:34:53+08:00,2025-06-18T00:34:53+08:00,,1,509,81,25,,,,Tests,,git_subject_inferred
9,Develop,merged_inferred,True,False,消失,,2025-06-17T22:35:27+08:00,2025-06-17T22:35:27+08:00,,1,1130,1594,76,,,,Other,,git_subject_inferred
7,Develop,merged_inferred,True,False,消失,,2025-06-17T21:14:20+08:00,2025-06-17T21:14:20+08:00,,1,0,0,0,,,,Other,,git_subject_inferred
5,Vanish/feature import odin,merged_inferred,True,False,消失,,2025-06-17T21:01:08+08:00,2025-06-17T21:01:08+08:00,,1,49615,0,129,,,,Other,,git_subject_inferred
4,Develop,merged_inferred,True,False,消失,,2025-06-17T00:30:24+08:00,2025-06-17T00:30:24+08:00,,1,1,20,3,,,,Other,,git_subject_inferred
3,feat: update default values and descriptions for deployment and build targets in CI/CD pipeline,merged_inferred,True,False,消失,,2025-06-17T00:11:15+08:00,2025-06-17T00:11:15+08:00,,1,10,2,1,,,,Build/CI,,git_subject_inferred
1,Add ConsolePro plugin and remove tutorial assets,merged_inferred,True,False,消失,,2025-06-16T23:40:10+08:00,2025-06-16T23:40:10+08:00,,1,194,1155,24,,,,Assets/Art,,git_subject_inferred
