path,field,rule
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/WaveControl/ZoneWaveControl.cs,spriteRenderer,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/WaveControl/ZoneWaveControl.cs,timer,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/WaveControl/ZoneWaveControl.cs,initialScale,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/WaveControl/WavePoolManager.cs,wavePrefab,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/WaveControl/WavePoolManager.cs,defaultSize,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/WaveControl/WavePoolManager.cs,maxSize,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/WaveControl/WavePoolManager.cs,_pool,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/MatDoor/MatDoorControl.cs,LockCount,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/MatDoor/MatDoorControl.cs,isUnlock,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/MatDoor/MatDoorControl.cs,isCanClose,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/MatDoor/MatDoorControl.cs,ColdDownTime,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/MatDoor/MatDoorControl.cs,ColdDownTimer,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/MatDoor/MatDoorControl.cs,CloseDownTime,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/MatDoor/MatDoorControl.cs,CloseDownTimer,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/MatDoor/MatDoorControl.cs,doorRenderer,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/MatDoor/MatDoorControl.cs,lineRender,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/MatDoor/MatDoorControl.cs,processedWaveIDs,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/Ore/MatOreControl.cs,isVerticalFirst,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/Ore/MatOreControl.cs,WavePre,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/Ore/MatOreControl.cs,ColdDownTime,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/Ore/MatOreControl.cs,ColdDownTimer,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/Ore/MatOreControl.cs,originalScale,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/Ore/MatOreControl.cs,isOn,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/Ore/MatOreControl.cs,childRenderer,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/Ore/MatOreControl.cs,fadeCoroutine,private/protected/internal field should start with m_
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/OrchidCollection/MatCollectionControl.cs,isBloom,private/protected/internal field should start with m_
Assets/Core/Input/InputEvents.cs,bufferTime,private/protected/internal field should start with m_
Assets/Core/FP/Result.cs,mValue,private/protected/internal field should start with m_
Assets/Core/FP/Result.cs,mError,private/protected/internal field should start with m_
Assets/Core/Container/PriorityQueue.cs,mComparer,private/protected/internal field should start with m_
Assets/Core/Container/PriorityQueue.cs,mSyncRoot,private/protected/internal field should start with m_
Assets/Core/Common/FramedFloat.cs,seconds,private/protected/internal field should start with m_
Assets/Core/Common/FramedFloat.cs,frames,private/protected/internal field should start with m_
Assets/Core/Command/AbastractManagerCommand.cs,Manager,private/protected/internal field should start with m_
