author,path,insertions,deletions,touches,churn
OriSYX,Assets/Arts/BeeArt/anim_bee_fly_0001.png.meta,117,0,1,117
OriSYX,Assets/Arts/BeeArt/anim_bee_fly_0002.png.meta,117,0,1,117
OriSYX,Assets/Arts/BeeArt/anim_bee_fly_0003.png.meta,117,0,1,117
OriSYX,Assets/Arts/BeeArt/anim_bee_onwall_0001.png.meta,117,0,1,117
OriSYX,Assets/Arts/BeeArt/anim_bee_rope_0001.png.meta,117,0,1,117
OriSYX,Assets/Arts/BeeArt/anim_bee_rope_0002.png.meta,117,0,1,117
OriSYX,Assets/Arts/BeeArt/anim_bee_slowidle_0001.png.meta,117,0,1,117
OriSYX,Assets/Arts/BeeArt/anim_bee_slowidle_0002.png.meta,117,0,1,117
OriSYX,Assets/Arts/BeeArt/anim_bee_slowidle_0003.png.meta,117,0,1,117
OriSYX,Assets/Arts/BeeArt/anim_bee_slowidle_0004.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/Dash/anim_pl_dashing_0001.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/Dash/anim_pl_dashing_0002.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/Dash/anim_pl_dashing_0003.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/Dash/anim_pl_throw2dash_0001.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/Dash/anim_pl_throw2dash_0002.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/Fall/anim_pl_fall2idle_0001.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/Fall/anim_pl_fall2idle_0002.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/Fall/anim_pl_fall2idle_0003.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/Fall/anim_pl_fall2walk_0001.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/Fall/anim_pl_fall2walk_0002.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/Fall/anim_pl_fall_R_01.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/Fall/anim_pl_fall_R_02.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/Fall/anim_pl_fall_R_03.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/Fall/anim_pl_fall_U2R.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/Fall/anim_pl_fall_U_01.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/Fall/anim_pl_fall_U_02.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/Fall/anim_pl_fall_U_03.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/Grab/anim_pl_grab_0001.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/Grab/anim_pl_grab_0002.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/Grab/anim_pl_grab_0003.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/Grab/anim_pl_grab_0004.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/Grab/anim_pl_grab_0005.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/Grab/anim_pl_grab_0006.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/Grab2/anim_pl_grab_0001.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/Grab2/anim_pl_grab_0002.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/Grab2/anim_pl_grab_0003.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/Grab2/anim_pl_grab_0004.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/Grab2/anim_pl_grab_0005.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/Grab2/anim_pl_grab_0006.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/GroundMove/anim_pl_walk_01.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/GroundMove/anim_pl_walk_02.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/GroundMove/anim_pl_walk_03.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/GroundMove/anim_pl_walk_04.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/GroundMove/anim_pl_walk_05.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/GroundMove/anim_pl_walk_06.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/GroundMove/anim_pl_walk_07.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/GroundMove/anim_pl_walk_08.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/GroundMove2/anim_pl_walk2idle_01.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/GroundMove2/anim_pl_walk2idle_02.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/GroundMove2/anim_pl_walk2idle_03.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/GroundMove2/anim_pl_walk2walk_01.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/GroundMove2/anim_pl_walk2walk_02.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/GroundMove2/anim_pl_walk2walk_03.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/GroundMove2/anim_pl_walk_01 1.png.meta,117,0,1,117
OriSYX,Assets/Arts/PlayerArt/GroundMove2/anim_pl_walk_02 1.png.meta,117,0,1,117
