path,risk_score,lines,complexity,churn,touches,update_methods,public_fields,reflection_hits,magic_numbers
Assets/Demos/FunctionDev/CharacterControllerDemo/PlayerMovementComponent.PhysicsCast.cs,9.69,53,2,53,1,0,0,0,0
Assets/GameMain/Scripts/RunTime/GamePlay/PlayerControl/BeeControl/BeeEvents.cs,9.68,22,3,22,1,0,0,0,0
Assets/Core/GameCoreSystems/Audio/AudioEventSheet.cs,9.68,15,1,15,1,0,1,0,0
Assets/Core/Common/Singleton.cs,9.62,21,3,21,1,0,0,0,0
Assets/Core/GameCoreSystems/Audio/Entry/SetParameterEntry.cs,9.62,14,1,14,1,0,1,0,0
Assets/GameMain/Scripts/RunTime/GamePlay/Entities/PlatformerGame/MisteryFog/MisteryFogSaveData.cs,9.56,13,1,13,1,0,1,0,0
Assets/Core/GameCore/Registry/IGameCoreHookRegistry.cs,9.47,28,1,32,2,0,0,0,0
Assets/Core/GameCoreSystems/Stats/StatsSaveData.cs,9.38,10,1,10,1,0,1,0,0
Assets/Core/Common/SerializedScriptableObject/VgSerializedScriptableObject.cs,9.26,25,1,25,1,0,0,0,0
Assets/Demos/FunctionDev/CharacterControllerDemo/PlayerMoveCapability.cs,9.2,24,1,24,1,0,0,0,0
Assets/Core/Command/AudioManagerHelper/AudioManagerHelperCommands.cs,9.18,75,1,75,1,0,0,0,0
Assets/Core/GameCore/GameFlow/Steps/LoadMainMenuSceneStep.cs,9.16,23,1,25,2,0,0,0,0
Assets/Core/Command/IManagerCommand.cs,8.55,12,1,18,2,0,0,0,0
Assets/Core/GameCore/GameFlow/GameFlowState.cs,8.44,11,1,11,2,0,0,0,0
Assets/Core/CoreModule/Game/GameSystemManager.cs,8.39,9,1,17,2,0,0,0,0
Assets/Core/CoreModule/Game/GameMonoModule.cs,8.38,9,1,15,2,0,0,0,0
Assets/Core/EventSystem/IEvent.cs,8.33,8,1,16,2,0,0,0,0
Assets/Core/CoreModule/ObjectPool/VgObjectPoolManager.cs,8.32,8,1,14,2,0,0,0,0
Assets/Core/CoreModule/Localization/VgLocalizationManager.cs,8.32,8,1,14,2,0,0,0,0
Assets/Tests/Editor/UI/SuperText/RichTextTagParserTests.cs,8.3,170,1,170,1,0,0,0,15
Assets/GameMain/Scripts/RunTime/UI/SuperText/CharacterEffectRegistry.cs,8.29,29,2,29,1,0,0,0,0
Assets/GameMain/Scripts/RunTime/GameCoreSystems/LevelManager/RuntimeEntityRegistry.cs,8.23,28,2,28,1,0,0,0,0
