path,line,text
Packages/com.unity.render-pipelines.universal/Tests/Runtime/LightClusteringTests.cs,15,"[Description(""The tiling job calculates an intersection between an XZ plane and the light volume to determine the range of tiles that the light affects. In the cases where this range falls completely outside of the scree"
Packages/com.unity.render-pipelines.universal/Tests/Runtime/RuntimeTests.cs,54,#if UNITY_EDITOR // TODO This API call does not reset in player
Packages/com.unity.render-pipelines.universal/Tests/Editor/ShaderBuildPreprocessorTests.cs,961,// TODO Tests for Automatic
Packages/com.unity.render-pipelines.universal/Shaders/LitGBufferPass.hlsl,10,// TODO: Currently we support viewDirTS caclulated in vertex shader and in fragments shader.
Packages/com.unity.render-pipelines.universal/Shaders/LitInput.hlsl,246,"return lerp(normalTS, BlendNormalRNM(normalTS, detailNormalTS), detailMask); // todo: detailMask should lerp the angle of the quaternion rotation, not the normals"
Packages/com.unity.render-pipelines.universal/Shaders/CameraMotionVectors.shader,111,// TODO: test that velocity.y is correct
Packages/com.unity.render-pipelines.universal/Shaders/XR/XRMirrorView.hlsl,75,// TODO: The solution here is to add a hue preserving tonemap operator in as part of the conversion process but this will add quite a bit of extra expense.
Packages/com.unity.render-pipelines.universal/Shaders/Utils/MaterialError.shader,10,"// TODO: Ideally this would be combined with FallbackError.shader, but it seems"
Packages/com.unity.render-pipelines.universal/Shaders/Utils/ClusterDeferred.hlsl,66,"// TODO: if !defined(_SPECGLOSSMAP) && !defined(_SPECULAR_COLOR), force specularColor to 0 in gbuffer code"
Packages/com.unity.render-pipelines.universal/Shaders/Utils/FogDeferred.hlsl,41,"float viewZ = LinearEyeDepth(gBufferData.depth, _ZBufferParams); // TODO: This wont work for orthographic camera!"
Packages/com.unity.render-pipelines.universal/Shaders/Utils/StencilDeferred.hlsl,100,"// TODO move some of the properties to half storage (color, attenuation, spotDirection, flag to 16bits, occlusionProbeInfo)"
Packages/com.unity.render-pipelines.universal/Shaders/Utils/StencilDeferred.hlsl,328,"// TODO: if !defined(_SPECGLOSSMAP) && !defined(_SPECULAR_COLOR), force specularColor to 0 in gbuffer code"
Packages/com.unity.render-pipelines.universal/Shaders/PostProcessing/CameraMotionBlur.shader,111,"// TODO: There's bug in GetCameraVelocity, which is using NDC and not UV"
Packages/com.unity.render-pipelines.universal/Shaders/PostProcessing/FXAA3_11.hlsl,1433,however I fixed a bug which was in both FXAA 3.9 and FXAA 3.10.
Packages/com.unity.render-pipelines.universal/Shaders/Terrain/TerrainLitInput.hlsl,97,// Fixes bug where compression is enabled and 0 isn't actually 0 but low like 1/2047. (UUM-61913)
Packages/com.unity.render-pipelines.universal/ShaderLibrary/UnityInput.hlsl,258,// TODO ENLIGHTEN: Instanced GI
Packages/com.unity.render-pipelines.universal/ShaderLibrary/UnityInput.hlsl,264,// TODO ENLIGHTEN: Instanced GI
Packages/com.unity.render-pipelines.universal/ShaderLibrary/UnityInput.hlsl,277,// TODO: all affine matrices should be 3x4.
Packages/com.unity.render-pipelines.universal/ShaderLibrary/UnityInput.hlsl,278,"// TODO: sort these vars by the frequency of use (descending), and put commonly used vars together."
